id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
07d98bdf-87b1-4442-9a09-7be38ce48f9d,information.net,resell,,,high,low,11,"GoDaddy.com, LLC",20/05/1997 04:00,21/05/2027 04:00
ac8796ee-9a95-4ff0-ac0c-4897ad2e046d,technology.net,resell,,,high,low,10,"NameSilo, LLC",30/07/1997 04:00,29/07/2026 04:00
540ed01a-9608-4260-9841-5965f4f7f5be,device.net,resell,,,high,low,6,"GoDaddy.com, LLC",04/01/2000 13:07,04/01/2027 13:07
541c9a62-3533-4114-bff7-bb5d7873d47b,signal.online,resell,,,high,medium,6,Squarespace Domains II LLC,26/08/2015 16:00,26/08/2026 23:59
96d454ec-75b2-4911-986e-7d36a195d535,internet.net,resell,,,medium,high,8,MarkMonitor Inc.,27/06/1997 04:00,26/06/2026 04:00
88f4670b-da26-4359-8d02-8b8a34bb41b2,signal.contact,available,14.99,14.99,high,medium,6,namesilo,,
101da394-50f9-47ae-a79e-1b0d91a0bc84,networked.net,resell,,,medium,high,9,"Sea Wasp, LLC",19/03/2003 19:25,19/03/2026 18:25
d3983330-aef3-4b9e-904b-c975ff35a0ee,signal.mobi,resell,,,high,medium,6,"Xiamen ChinaSource Internet Service Co., Ltd",21/11/2025 15:15,21/11/2026 15:15
f80de799-c3b2-49c4-9983-5c5711c054da,wireless.online,premium,781.25,3125,high,low,8,name.com,,
c128e4a5-9306-43a9-8143-65c4b7b240e1,wireless.tel,resell,,,high,low,8,"Name.com, Inc.",27/10/2016 14:04,26/10/2026 23:59
0da315ab-0f70-465d-8561-e33925939770,signal.nexus,premium,73.75,,high,medium,6,name.com,,
066663d4-d5e1-4a5c-806c-31b106454443,wireless.network,available,,,high,low,8,,,
96879b23-caa4-4b60-8711-d895714682e9,optical.net,resell,,,high,high,7,"Domain.com, LLC",30/01/1997 05:00,31/01/2027 05:00
bed3ee9a-0252-45e5-a140-ad7467ce9701,wireless.contact,premium,14.99,14.99,high,low,8,namesilo,,
f6d267db-aeed-4756-8fd1-ca5d02b5211f,signal.tech,available,,,high,low,6,,,
7633638e-4535-4850-ac56-28b955ff92ca,phone.online,premium,7812.5,,high,low,5,name.com,,
c4464737-3556-4a48-a65b-ef614f386440,modem.online,premium,78.12,,high,low,5,name.com,,
